,Movie,Tags
62,Sita Ramam,sita ramam action drama mystery hanuraghavapudi dulquersalmaan mrunalthakur rashmikamandanna orphan soldier   Lieutenant Ram s life change   get letter girl name Sita   meet love blossom   come back camp Kashmir   get catch jail   send letter Sita will not reach
63,Lepa sela lepo gore,lepa sela lepo gore comedy drama history srdjandragojevic draganbjelogrlic nikolakojo draganmaksimovic war Bosnia   two childhood friend eventually become enemy   tragic devastating circumstance war put opposite side expose gruesome cruel aspect human nature
64,O Auto da Compadecida,o auto da compadecida comedy drama fantasy guelarraes matheusnachtergaele seltonmello rog riocardoso follow live   poor Brazilians scheme get money consequence action
65,Anbe Sivam,anbe sivam adventure comedy drama sundarc kamalhaasan madhavan kiranrathod two man   one young arrogant   damage   physically spiritually   life   throw together circumstance   find way bind together fate
66,Nayakan,nayakan crime drama maniratnam kamalhaasan saranyaponvannan delhiganesh common man s struggle corrupt police force put wrong side law   become   love respect many   grow power influence exact heavy toll
67,Hababam Sinifi Tatilde,hababam sinifi tatilde adventure comedy drama ertemegilmez kemalsunal m nir zkul adilenasit Hababam Sinifi   Chaos Class   continue adventure   first female student school history join class Hababam Sinifi fight first   see full summary
68,Alien,alien horror sci fi ridleyscott sigourneyweaver tomskerritt johnhurt crew commercial spacecraft encounter deadly lifeform investigate unknown transmission
69,Back to the Future,back to the future adventure comedy sci fi robertzemeckis michaelj fox christopherlloyd leathompson Marty McFly   yearold high school student   accidentally send   year past timetravele DeLorean invent close friend   maverick scientist Doc Brown
70,The Departed,the departed crime drama thriller martinscorsese leonardodicaprio mattdamon jacknicholson undercover cop mole police attempt identify infiltrate irish gang South Boston
71,Gladiator,gladiator action adventure drama ridleyscott russellcrowe joaquinphoenix connienielsen former Roman General set exact vengeance corrupt emperor murder family send slavery
72,The Prestige,the prestige drama mystery sci fi christophernolan christianbale hughjackman scarlettjohansson tragic accident   two stage magicians s London engage battle create ultimate illusion sacrifice everything outwit
73,Gisaengchung,gisaengchung drama thriller bongjoonho songkang ho leesun kyun choyeo jeong greed class discrimination threaten newly form symbiotic relationship wealthy Park family destitute Kim clan
74,Whiplash,whiplash drama music damienchazelle milesteller j k simmons melissabenoist promise young drummer enroll cutthroat music conservatory dream greatness mentor instructor stop nothing realize student s potential
75,Léon,l on action crime drama lucbesson jeanreno garyoldman natalieportman yearold Mathilda reluctantly take Lon   professional assassin   family murder   unusual relationship form become protge learn assassin s trade
76,Casablanca,casablanca drama romance war michaelcurtiz humphreybogart ingridbergman paulhenreid cynical expatriate american cafe owner struggle decide whether help former lover fugitive husband escape nazi French Morocco
77,The Usual Suspects,the usual suspects crime drama mystery bryansinger kevinspacey gabrielbyrne chazzpalminteri sole survivor pier shootout tell story notorious criminal influence event begin five criminal meet seemingly random police lineup
78,The Lion King,the lion king animation adventure drama rogerallers robminkoff matthewbroderick jeremyirons Lion prince Simba father target bitter uncle   want ascend throne
79,American History X,american history x crime drama tonykaye edwardnorton edwardfurlong beverlyd angelo live life mark violence   neoNazi Derek finally go prison kill two black youth   upon release   Derek vow change   hope prevent brother   Danny   idolize Derek   follow footstep
80,The Pianist,the pianist biography drama music romanpolanski adrienbrody thomaskretschmann frankfinlay polish jewish musician struggle survive destruction Warsaw ghetto World War II
81,Psycho,psycho horror mystery thriller alfredhitchcock anthonyperkins janetleigh veramiles Phoenix secretary embezzle    employer s client   go run check remote motel run young man domination mother
82,The Intouchables,the intouchables biography comedy drama oliviernakache  rictoledano fran oiscluzet omarsy become quadriplegic paraglide accident   aristocrat hire young man project caregiver
83,Once Upon a Time in the West,once upon a time in the west western sergioleone henryfonda charlesbronson claudiacardinale mysterious stranger harmonica join force notorious desperado protect beautiful widow ruthless assassin working railroad
84,Hotaru no haka,hotaru no haka animation drama war isaotakahata tsutomutatsumi ayanoshiraishi akemiyamaguchi young boy little sister struggle survive Japan World War II
85,Rear Window,rear window mystery thriller alfredhitchcock jamesstewart gracekelly wendellcorey photographer wheelchair spy neighbor Greenwich Village courtyard apartment window   become convinced one committed murder   despite skepticism fashionmodel girlfriend
86,Nuovo Cinema Paradiso,nuovo cinema paradiso drama romance giuseppetornatore philippenoiret enzocannavale antonellaattili filmmaker recall childhood fall love picture cinema home village form deep friendship cinema s projectionist
87,Banshee,banshee action gemmamccarthy antonystarr jonathano dwyer seanflood thief get prison many year decide try locate someone past   series event   end become sheriff   face past new position sheriff
88,Modern Times,modern times comedy drama romance charleschaplin charleschaplin paulettegoddard henrybergman tramp struggle live modern industrial society help young homeless woman
89,City Lights,city lights comedy drama romance charleschaplin charleschaplin virginiacherrill florencelee aid wealthy erratic tippler   dewyeye tramp fall love sightless flower girl accumulate money able help medically
90,Suna no onna,suna no onna drama thriller hiroshiteshigahara eijiokada ky kokishida hirokoit  entomologist vacation trap local villager live woman whose life task shovel sand
91,La meglio gioventù,la meglio giovent  drama romance marcotulliogiordana luigilocascio alessioboni jasminetrinca italian epic follow live two brother s s
92,Apur Sansar,apur sansar drama satyajitray soumitrachatterjee sharmilatagore alokchakravarty final installment Satyajit Ray s Apu Trilogy follow Apu s life orphan adult aspire writer
93,96,   drama romance cpremkumar vijaysethupathi adithyabhaskar trishakrishnan two high school sweetheart meet reunion   year reminisce past
94,Le trou,le trou crime drama thriller jacquesbecker andr bervil jeankeraudy michelconstantin distrust uncertainty arise four longterm inmate cautiously induct new prisoner elaborate prisonbreak scheme
95,Kumbalangi Nights,kumbalangi nights comedy drama romance madhucnarayanan shanenigam soubinshahir fahadhfaasil film revolve around four brother share lovehate relationship   relationship progress another level Saji   Boney   Franky decide help Bobby stand love
96,Shingeki no Kyojin: Chronicle,shingeki no kyojin  chronicle animation action adventure masashikoizuka tetsur araki y kikaji yuiishikawa recap popular anime series Shingeki Kyojin season  
97,Visaaranai,visaaranai crime drama thriller vetrimaaran dinesh samuthirakani anandhi four labourer torture police confess theft commit
98,Jersey,jersey drama sport gowtamtinnanuri nani shraddhasrinath sathyaraj fail cricketer decide revive cricket career late   s despite everyone skeptical ability
99,Sarpatta Parambarai,sarpatta parambarai action drama sport paranjith arya pasupathy johnkokken Sarpatta Parambarai challenge doordie match   Kabilan   young labourer   put glove lead clan victory   dissuade disapprove mother dangerous politic
100,Selvi Boylum Al Yazmalim,selvi boylum al yazmalim drama romance atifyilmaz t rkansoray kadirinanir ahmetmekin story dilemma woman s love logic   Asya   young girl strict mother   meet Ilyas womanizer city man   quickly fall love   get   see full summary
